Frame_ID,Marker_ID,Image_Path,X_min,Y_min,X_max,Y_max
1191,1,frame_01191.jpg,2511,1584,2560,1932
1192,1,frame_01192.jpg,2511,1584,2560,1931
1193,1,frame_01193.jpg,2510,1583,2559,1931
1194,1,frame_01194.jpg,2508,1583,2559,1931
1195,1,frame_01195.jpg,2505,1582,2556,1930
1196,1,frame_01196.jpg,2504,1582,2553,1928
1197,1,frame_01197.jpg,2501,1581,2551,1927
1198,1,frame_01198.jpg,2500,1579,2550,1926
1199,1,frame_01199.jpg,2500,1576,2549,1923
1200,1,frame_01200.jpg,2501,1574,2552,1919
1201,1,frame_01201.jpg,2501,1572,2551,1918
1202,1,frame_01202.jpg,2503,1568,2552,1913
1203,1,frame_01203.jpg,2503,1566,2552,1910
1204,1,frame_01204.jpg,2502,1564,2551,1907
1205,1,frame_01205.jpg,2500,1560,2549,1904
1206,1,frame_01206.jpg,2497,1557,2547,1900
1207,1,frame_01207.jpg,2493,1554,2543,1897
1208,1,frame_01208.jpg,2491,1551,2541,1894
1209,1,frame_01209.jpg,2488,1549,2539,1891
1210,1,frame_01210.jpg,2487,1547,2538,1888
1211,1,frame_01211.jpg,2488,1544,2538,1886
1212,1,frame_01212.jpg,2490,1542,2539,1884
1213,1,frame_01213.jpg,2489,1539,2539,1881
1214,1,frame_01214.jpg,2491,1537,2540,1879
1215,1,frame_01215.jpg,2490,1535,2539,1877
1216,1,frame_01216.jpg,2490,1533,2540,1874
1217,1,frame_01217.jpg,2489,1530,2539,1870
1218,1,frame_01218.jpg,2487,1527,2537,1868
1219,1,frame_01219.jpg,2485,1524,2536,1865
1220,1,frame_01220.jpg,2482,1521,2534,1861
1221,1,frame_01221.jpg,2480,1518,2532,1859
1222,1,frame_01222.jpg,2478,1515,2530,1855
1223,1,frame_01223.jpg,2477,1512,2528,1852
1224,1,frame_01224.jpg,2476,1509,2527,1849
1225,1,frame_01225.jpg,2475,1507,2526,1845
1226,1,frame_01226.jpg,2474,1504,2525,1842
1227,1,frame_01227.jpg,2473,1501,2525,1839
